,filename,clusterRank,lowestBindingEnergy,numberInCluster,nrun,nev,psize
0,Propanolol-6.dlg,5,-6.4,32,81,300902,147
1,Propanolol-8.dlg,1,-6.61,29,84,290417,131
2,Propanolol-9.dlg,1,-6.88,28,69,351700,100
3,Propanolol-1.dlg,1,-6.8,28,57,423131,310
4,Propanolol-4.dlg,3,-6.37,24,60,402684,333
5,Propanolol-0.dlg,4,-6.35,18,72,337458,179
6,Propanolol-3.dlg,1,-6.64,16,22,1038062,379
7,Propanolol-2.dlg,3,-6.53,13,23,996678,292
8,Propanolol-8.dlg,4,-6.32,13,84,290417,131
9,Propanolol-8.dlg,3,-6.39,12,84,290417,131
10,Propanolol-0.dlg,3,-6.42,12,72,337458,179
11,Propanolol-7.dlg,1,-6.65,12,25,923077,306
12,Propanolol-0.dlg,1,-6.57,11,72,337458,179
13,Propanolol-6.dlg,3,-6.53,11,81,300902,147
14,Propanolol-9.dlg,2,-6.59,11,69,351700,100
15,Propanolol-6.dlg,1,-6.84,10,81,300902,147
16,Propanolol-4.dlg,6,-5.57,10,60,402684,333
17,Propanolol-5.dlg,1,-6.65,10,38,623700,133
18,Propanolol-8.dlg,2,-6.52,8,84,290417,131
19,Propanolol-0.dlg,2,-6.47,8,72,337458,179
20,Propanolol-9.dlg,6,-6.31,8,69,351700,100
21,Propanolol-5.dlg,2,-6.42,8,38,623700,133
22,Propanolol-0.dlg,6,-5.66,7,72,337458,179
23,Propanolol-1.dlg,2,-6.72,7,57,423131,310
24,Propanolol-8.dlg,7,-5.8,6,84,290417,131
25,Propanolol-1.dlg,4,-5.9,6,57,423131,310
26,Propanolol-6.dlg,6,-5.97,6,81,300902,147
27,Propanolol-8.dlg,8,-5.36,6,84,290417,131
28,Propanolol-9.dlg,4,-6.4,6,69,351700,100
29,Propanolol-6.dlg,2,-6.56,6,81,300902,147
30,Propanolol-4.dlg,1,-6.57,6,60,402684,333
31,Propanolol-8.dlg,6,-5.97,5,84,290417,131
32,Propanolol-9.dlg,5,-6.36,5,69,351700,100
33,Propanolol-4.dlg,7,-5.47,5,60,402684,333
34,Propanolol-0.dlg,5,-6.13,4,72,337458,179
35,Propanolol-7.dlg,2,-6.54,4,25,923077,306
36,Propanolol-1.dlg,3,-5.94,4,57,423131,310
37,Propanolol-5.dlg,9,-5.06,4,38,623700,133
38,Propanolol-9.dlg,8,-6.05,4,69,351700,100
39,Propanolol-6.dlg,9,-5.56,4,81,300902,147
40,Propanolol-6.dlg,8,-5.61,4,81,300902,147
41,Propanolol-6.dlg,4,-6.43,4,81,300902,147
42,Propanolol-1.dlg,5,-5.65,4,57,423131,310
43,Propanolol-0.dlg,7,-5.49,4,72,337458,179
44,Propanolol-7.dlg,3,-6.54,3,25,923077,306
45,Propanolol-5.dlg,6,-5.75,3,38,623700,133
46,Propanolol-4.dlg,5,-5.7,3,60,402684,333
47,Propanolol-2.dlg,2,-6.7,3,23,996678,292
48,Propanolol-4.dlg,9,-4.34,3,60,402684,333
49,Propanolol-0.dlg,8,-5.47,3,72,337458,179
50,Propanolol-5.dlg,4,-5.99,3,38,623700,133
51,Propanolol-9.dlg,7,-6.17,3,69,351700,100
52,Propanolol-4.dlg,8,-5.44,3,60,402684,333
53,Propanolol-4.dlg,4,-6.33,3,60,402684,333
54,Propanolol-1.dlg,6,-5.64,3,57,423131,310
55,Propanolol-1.dlg,7,-5.48,2,57,423131,310
56,Propanolol-7.dlg,6,-5.39,2,25,923077,306
57,Propanolol-0.dlg,9,-5.37,2,72,337458,179
58,Propanolol-2.dlg,6,-5.36,2,23,996678,292
59,Propanolol-5.dlg,7,-5.63,2,38,623700,133
60,Propanolol-2.dlg,4,-5.81,2,23,996678,292
61,Propanolol-7.dlg,5,-5.73,2,25,923077,306
62,Propanolol-5.dlg,5,-5.84,2,38,623700,133
63,Propanolol-2.dlg,1,-6.71,2,23,996678,292
64,Propanolol-9.dlg,3,-6.46,2,69,351700,100
65,Propanolol-5.dlg,3,-6.2,2,38,623700,133
66,Propanolol-3.dlg,3,-6.28,2,22,1038062,379
67,Propanolol-8.dlg,11,0.06,1,84,290417,131
68,Propanolol-6.dlg,12,-1.51,1,81,300902,147
69,Propanolol-8.dlg,10,-2.18,1,84,290417,131
70,Propanolol-0.dlg,12,1.52,1,72,337458,179
71,Propanolol-9.dlg,10,-4.92,1,69,351700,100
72,Propanolol-6.dlg,11,-2.24,1,81,300902,147
73,Propanolol-5.dlg,11,2.31,1,38,623700,133
74,Propanolol-5.dlg,10,-3.74,1,38,623700,133
75,Propanolol-4.dlg,11,-4.0,1,60,402684,333
76,Propanolol-4.dlg,10,-4.23,1,60,402684,333
77,Propanolol-0.dlg,11,-4.25,1,72,337458,179
78,Propanolol-8.dlg,12,2.65,1,84,290417,131
79,Propanolol-1.dlg,10,-4.37,1,57,423131,310
80,Propanolol-1.dlg,9,-4.9,1,57,423131,310
81,Propanolol-4.dlg,2,-6.51,1,60,402684,333
82,Propanolol-1.dlg,8,-4.99,1,57,423131,310
83,Propanolol-3.dlg,6,-5.06,1,22,1038062,379
84,Propanolol-6.dlg,7,-5.75,1,81,300902,147
85,Propanolol-9.dlg,9,-5.12,1,69,351700,100
86,Propanolol-5.dlg,8,-5.17,1,38,623700,133
87,Propanolol-8.dlg,9,-5.3,1,84,290417,131
88,Propanolol-7.dlg,7,-5.31,1,25,923077,306
89,Propanolol-0.dlg,10,-5.33,1,72,337458,179
90,Propanolol-3.dlg,2,-6.32,1,22,1038062,379
91,Propanolol-8.dlg,5,-6.19,1,84,290417,131
92,Propanolol-7.dlg,4,-6.05,1,25,923077,306
93,Propanolol-3.dlg,4,-5.84,1,22,1038062,379
