,filename,clusterRank,lowestBindingEnergy,numberInCluster,nrun,nev,psize
0,Propanolol-6.dlg,5,-6.4,32,81,300902,147
1,Propanolol-8.dlg,1,-6.61,29,84,290417,131
2,Propanolol-1.dlg,1,-6.8,28,57,423131,310
3,Propanolol-9.dlg,1,-6.88,28,69,351700,100
4,Propanolol-4.dlg,3,-6.37,24,60,402684,333
5,Propanolol-0.dlg,4,-6.35,18,72,337458,179
6,Propanolol-3.dlg,1,-6.64,16,22,1038062,379
7,Propanolol-2.dlg,3,-6.53,13,23,996678,292
8,Propanolol-7.dlg,1,-6.65,12,25,923077,306
9,Propanolol-5.dlg,1,-6.65,10,38,623700,133
