,filename,clusterRank,lowestBindingEnergy,numberInCluster,nrun,nev,psize
1,Propanolol-8.dlg,1,-6.57,30,100,244898,190
6,Propanolol-3.dlg,1,-6.5,23,100,244898,363
0,Propanolol-6.dlg,1,-6.47,36,100,244898,127
5,Propanolol-7.dlg,1,-6.19,23,100,244898,376
3,Propanolol-9.dlg,1,-6.17,25,100,244898,206
65,Propanolol-0.dlg,1,-6.16,5,100,244898,384
20,Propanolol-5.dlg,1,-6.1,15,100,244898,264
2,Propanolol-2.dlg,1,-6.05,27,100,244898,244
4,Propanolol-1.dlg,1,-6.05,24,100,244898,118
38,Propanolol-1.dlg,2,-5.92,10,100,244898,118
8,Propanolol-0.dlg,2,-5.92,22,100,244898,384
27,Propanolol-7.dlg,2,-5.87,13,100,244898,376
15,Propanolol-0.dlg,3,-5.85,17,100,244898,384
40,Propanolol-6.dlg,2,-5.84,10,100,244898,127
46,Propanolol-7.dlg,3,-5.83,9,100,244898,376
73,Propanolol-8.dlg,2,-5.78,3,100,244898,190
30,Propanolol-1.dlg,3,-5.73,12,100,244898,118
45,Propanolol-3.dlg,2,-5.65,9,100,244898,363
51,Propanolol-8.dlg,3,-5.65,9,100,244898,190
62,Propanolol-2.dlg,2,-5.61,6,100,244898,244
18,Propanolol-4.dlg,1,-5.58,16,100,244898,221
10,Propanolol-6.dlg,3,-5.54,19,100,244898,127
11,Propanolol-5.dlg,2,-5.54,18,100,244898,264
14,Propanolol-2.dlg,3,-5.49,17,100,244898,244
57,Propanolol-4.dlg,2,-5.46,8,100,244898,221
19,Propanolol-4.dlg,3,-5.37,15,100,244898,221
41,Propanolol-1.dlg,4,-5.33,10,100,244898,118
67,Propanolol-9.dlg,2,-5.26,5,100,244898,206
26,Propanolol-5.dlg,3,-5.26,14,100,244898,264
93,Propanolol-0.dlg,4,-5.21,2,100,244898,384
7,Propanolol-9.dlg,3,-5.12,23,100,244898,206
43,Propanolol-3.dlg,3,-5.01,9,100,244898,363
71,Propanolol-2.dlg,4,-4.97,4,100,244898,244
37,Propanolol-9.dlg,4,-4.88,10,100,244898,206
86,Propanolol-4.dlg,4,-4.84,2,100,244898,221
39,Propanolol-1.dlg,5,-4.83,10,100,244898,118
64,Propanolol-3.dlg,4,-4.82,5,100,244898,363
23,Propanolol-4.dlg,5,-4.71,14,100,244898,221
55,Propanolol-8.dlg,4,-4.59,8,100,244898,190
44,Propanolol-9.dlg,5,-4.55,9,100,244898,206
48,Propanolol-1.dlg,6,-4.54,9,100,244898,118
53,Propanolol-1.dlg,7,-4.49,8,100,244898,118
84,Propanolol-4.dlg,6,-4.49,2,100,244898,221
13,Propanolol-6.dlg,4,-4.46,17,100,244898,127
24,Propanolol-7.dlg,4,-4.43,14,100,244898,376
34,Propanolol-3.dlg,5,-4.41,11,100,244898,363
31,Propanolol-2.dlg,5,-4.33,12,100,244898,244
16,Propanolol-4.dlg,7,-4.32,16,100,244898,221
33,Propanolol-3.dlg,6,-4.29,11,100,244898,363
52,Propanolol-0.dlg,5,-4.28,8,100,244898,384
28,Propanolol-0.dlg,6,-4.24,13,100,244898,384
22,Propanolol-5.dlg,4,-4.21,15,100,244898,264
60,Propanolol-3.dlg,7,-4.15,7,100,244898,363
21,Propanolol-8.dlg,5,-4.13,15,100,244898,190
82,Propanolol-4.dlg,8,-4.06,2,100,244898,221
29,Propanolol-2.dlg,6,-4.0,12,100,244898,244
81,Propanolol-4.dlg,9,-3.9,2,100,244898,221
32,Propanolol-7.dlg,5,-3.87,12,100,244898,376
85,Propanolol-5.dlg,5,-3.61,2,100,244898,264
50,Propanolol-2.dlg,7,-3.58,9,100,244898,244
56,Propanolol-9.dlg,6,-3.5,8,100,244898,206
98,Propanolol-8.dlg,6,-3.45,2,100,244898,190
42,Propanolol-0.dlg,7,-3.42,9,100,244898,384
69,Propanolol-7.dlg,6,-3.41,5,100,244898,376
118,Propanolol-8.dlg,7,-3.27,1,100,244898,190
109,Propanolol-3.dlg,8,-3.22,1,100,244898,363
114,Propanolol-1.dlg,8,-3.16,1,100,244898,118
96,Propanolol-0.dlg,8,-3.15,2,100,244898,384
72,Propanolol-6.dlg,5,-3.14,4,100,244898,127
129,Propanolol-5.dlg,6,-3.13,1,100,244898,264
17,Propanolol-5.dlg,7,-2.89,16,100,244898,264
9,Propanolol-8.dlg,8,-2.72,21,100,244898,190
94,Propanolol-8.dlg,9,-2.59,2,100,244898,190
25,Propanolol-0.dlg,9,-2.55,14,100,244898,384
49,Propanolol-1.dlg,9,-2.5,9,100,244898,118
54,Propanolol-9.dlg,7,-2.46,8,100,244898,206
59,Propanolol-3.dlg,9,-2.28,7,100,244898,363
35,Propanolol-7.dlg,7,-2.23,11,100,244898,376
100,Propanolol-7.dlg,8,-2.21,1,100,244898,376
95,Propanolol-7.dlg,9,-2.12,2,100,244898,376
12,Propanolol-4.dlg,10,-1.67,17,100,244898,221
80,Propanolol-2.dlg,8,-1.55,2,100,244898,244
103,Propanolol-0.dlg,10,-1.41,1,100,244898,384
77,Propanolol-5.dlg,8,-0.76,2,100,244898,264
111,Propanolol-5.dlg,9,-0.13,1,100,244898,264
58,Propanolol-5.dlg,10,0.31,8,100,244898,264
79,Propanolol-5.dlg,11,0.51,2,100,244898,264
119,Propanolol-9.dlg,8,0.59,1,100,244898,206
112,Propanolol-1.dlg,10,0.91,1,100,244898,118
108,Propanolol-6.dlg,6,0.94,1,100,244898,127
83,Propanolol-2.dlg,9,1.14,2,100,244898,244
120,Propanolol-8.dlg,10,1.23,1,100,244898,190
76,Propanolol-4.dlg,11,1.26,3,100,244898,221
102,Propanolol-6.dlg,7,1.68,1,100,244898,127
121,Propanolol-8.dlg,11,1.69,1,100,244898,190
130,Propanolol-3.dlg,10,1.83,1,100,244898,363
36,Propanolol-3.dlg,11,2.03,10,100,244898,363
99,Propanolol-7.dlg,10,2.17,1,100,244898,376
107,Propanolol-4.dlg,12,2.24,1,100,244898,221
110,Propanolol-5.dlg,12,2.25,1,100,244898,264
104,Propanolol-0.dlg,11,2.6,1,100,244898,384
47,Propanolol-6.dlg,8,2.64,9,100,244898,127
78,Propanolol-8.dlg,12,2.68,2,100,244898,190
61,Propanolol-9.dlg,9,2.74,6,100,244898,206
75,Propanolol-1.dlg,11,2.86,3,100,244898,118
74,Propanolol-1.dlg,12,3.33,3,100,244898,118
68,Propanolol-5.dlg,13,3.55,5,100,244898,264
97,Propanolol-0.dlg,12,4.12,2,100,244898,384
90,Propanolol-4.dlg,13,4.16,2,100,244898,221
87,Propanolol-6.dlg,9,4.4,2,100,244898,127
91,Propanolol-9.dlg,10,4.44,2,100,244898,206
63,Propanolol-7.dlg,11,4.53,6,100,244898,376
122,Propanolol-8.dlg,13,4.56,1,100,244898,190
101,Propanolol-0.dlg,13,4.62,1,100,244898,384
70,Propanolol-2.dlg,10,4.65,5,100,244898,244
123,Propanolol-8.dlg,14,4.97,1,100,244898,190
117,Propanolol-9.dlg,11,5.29,1,100,244898,206
116,Propanolol-9.dlg,12,5.47,1,100,244898,206
66,Propanolol-3.dlg,12,5.85,5,100,244898,363
128,Propanolol-2.dlg,11,7.23,1,100,244898,244
88,Propanolol-8.dlg,15,8.15,2,100,244898,190
127,Propanolol-2.dlg,12,9.19,1,100,244898,244
115,Propanolol-9.dlg,13,10.07,1,100,244898,206
105,Propanolol-6.dlg,10,11.28,1,100,244898,127
92,Propanolol-7.dlg,12,11.84,2,100,244898,376
124,Propanolol-8.dlg,16,12.45,1,100,244898,190
126,Propanolol-2.dlg,13,12.56,1,100,244898,244
131,Propanolol-7.dlg,13,12.69,1,100,244898,376
89,Propanolol-0.dlg,14,15.15,2,100,244898,384
125,Propanolol-2.dlg,14,19.41,1,100,244898,244
113,Propanolol-3.dlg,13,19.97,1,100,244898,363
106,Propanolol-0.dlg,15,24.74,1,100,244898,384
