,filename,clusterRank,lowestBindingEnergy,numberInCluster,nrun,nev,psize
0,Propanolol-6.dlg,1,-6.47,36,100,244898,127
1,Propanolol-8.dlg,1,-6.57,30,100,244898,190
2,Propanolol-2.dlg,1,-6.05,27,100,244898,244
3,Propanolol-9.dlg,1,-6.17,25,100,244898,206
4,Propanolol-1.dlg,1,-6.05,24,100,244898,118
5,Propanolol-3.dlg,1,-6.5,23,100,244898,363
6,Propanolol-7.dlg,1,-6.19,23,100,244898,376
7,Propanolol-0.dlg,2,-5.92,22,100,244898,384
8,Propanolol-5.dlg,2,-5.54,18,100,244898,264
9,Propanolol-4.dlg,1,-5.58,16,100,244898,221
